WARNING 2025-04-30 14:15:49,821 basehttp "GET /media/product_images/pro_2_1.jpg HTTP/1.1" 404 6672
INFO 2025-04-30 14:15:49,822 basehttp "GET /static/own_img/video_img.jpeg HTTP/1.1" 200 80674
WARNING 2025-04-30 14:15:49,822 basehttp "GET /media/product_images/pro_3_1.jpg HTTP/1.1" 404 6672
INFO 2025-04-30 14:15:49,822 basehttp "GET /static/own_img/footer_logo.jpeg HTTP/1.1" 200 51756
INFO 2025-04-30 14:15:49,823 basehttp "GET /static/assets/fonts/molla0ab2.woff2?74273691 HTTP/1.1" 200 134912
WARNING 2025-04-30 14:15:49,833 log Not Found: /media/product_images/pro_1_1.jpg
WARNING 2025-04-30 14:15:49,834 basehttp "GET /media/product_images/pro_1_1.jpg HTTP/1.1" 404 6672
INFO 2025-04-30 14:15:50,250 basehttp "GET /static/own_img/faicon.jpeg HTTP/1.1" 200 46384
INFO 2025-04-30 14:15:54,481 basehttp "GET /static/assets/css/plugins/owl-carousel/owl.carousel.css HTTP/1.1" 304 0
INFO 2025-04-30 14:15:54,493 basehttp "GET /static/assets/css/plugins/magnific-popup/magnific-popup.css HTTP/1.1" 304 0
INFO 2025-04-30 14:15:54,493 basehttp "GET /static/assets/css/plugins/jquery.countdown.css HTTP/1.1" 304 0
INFO 2025-04-30 14:15:54,497 basehttp "GET /static/own_img/faicon.jpeg HTTP/1.1" 304 0
INFO 2025-04-30 14:15:54,494 basehttp "GET /static/assets/css/skins/skin-demo-24.css HTTP/1.1" 304 0
INFO 2025-04-30 14:15:54,494 basehttp "GET /static/assets/css/style.css HTTP/1.1" 304 0
INFO 2025-04-30 14:15:54,495 basehttp "GET /static/assets/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-04-30 14:15:54,496 basehttp "GET /static/assets/css/demos/demo-24.css HTTP/1.1" 304 0
INFO 2025-04-30 14:15:54,507 basehttp "GET /static/assets/css/own_style.css HTTP/1.1" 304 0
WARNING 2025-04-30 14:15:54,856 log Not Found: /static/assets/js/jquery.plugin.min.map
WARNING 2025-04-30 14:15:54,857 basehttp "GET /static/assets/js/jquery.plugin.min.map HTTP/1.1" 404 6455
WARNING 2025-04-30 14:15:54,856 log Not Found: /static/assets/js/bootstrap.bundle.min.js.map
WARNING 2025-04-30 14:15:54,857 basehttp "GET /static/assets/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 6473
WARNING 2025-04-30 14:15:54,866 log Not Found: /static/assets/js/jquery.countdown.min.map
WARNING 2025-04-30 14:15:54,867 basehttp "GET /static/assets/js/jquery.countdown.min.map HTTP/1.1" 404 6464
WARNING 2025-04-30 14:15:54,931 log Not Found: /static/assets/css/skins/skin-demo-24.css.map
WARNING 2025-04-30 14:15:54,951 basehttp "GET /static/assets/css/skins/skin-demo-24.css.map HTTP/1.1" 404 6473
INFO 2025-04-30 14:15:54,951 basehttp - Broken pipe from ('127.0.0.1', 51722)
WARNING 2025-04-30 14:15:54,954 log Not Found: /static/assets/css/demos/demo-24.css.map
WARNING 2025-04-30 14:15:54,954 basehttp "GET /static/assets/css/demos/demo-24.css.map HTTP/1.1" 404 6458
WARNING 2025-04-30 14:15:54,973 log Not Found: /static/assets/css/plugins/magnific-popup/magnific-popup.css.map
WARNING 2025-04-30 14:15:54,977 log Not Found: /static/assets/css/plugins/owl-carousel/owl.carousel.css.map
WARNING 2025-04-30 14:15:54,981 log Not Found: /static/assets/css/plugins/jquery.countdown.css.map
WARNING 2025-04-30 14:15:54,981 basehttp "GET /static/assets/css/plugins/magnific-popup/magnific-popup.css.map HTTP/1.1" 404 6530
WARNING 2025-04-30 14:15:54,982 basehttp "GET /static/assets/css/plugins/owl-carousel/owl.carousel.css.map HTTP/1.1" 404 6518
WARNING 2025-04-30 14:15:54,984 basehttp "GET /static/assets/css/plugins/jquery.countdown.css.map HTTP/1.1" 404 6491
WARNING 2025-04-30 14:15:54,991 log Not Found: /static/assets/css/style.css.map
WARNING 2025-04-30 14:15:54,997 basehttp "GET /static/assets/css/style.css.map HTTP/1.1" 404 6434
WARNING 2025-04-30 14:15:54,996 log Not Found: /static/assets/css/bootstrap.min.css.map
WARNING 2025-04-30 14:15:54,997 basehttp "GET /static/assets/css/bootstrap.min.css.map HTTP/1.1" 404 6458
INFO 2025-04-30 14:16:04,966 basehttp "GET / HTTP/1.1" 200 28579
INFO 2025-04-30 14:16:05,080 basehttp "GET /static/assets/css/plugins/owl-carousel/owl.carousel.css HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,089 basehttp "GET /static/assets/css/plugins/magnific-popup/magnific-popup.css HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,081 basehttp "GET /static/assets/css/plugins/jquery.countdown.css HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,087 basehttp "GET /static/assets/css/bootstrap.min.css HTTP/1.1" 304 0
